iter	Passed	Remaining
565	5372	4119
566	5377	41567567	5387	4097
568	5395	4087
569	5400	40570570	5412	4066
571	5419	40572572	5428	40573573	5442	4039
574	5446	40575575	5455	40576576	5461	40577577	5469	39578578	5479	39579	5486	3973
580	5495	3963
581	5506	3954
582	5518	3947
583	5526	3936
584	5536	3927
585	587	5553	3891
588	5560	3880
589	5566	3868
590	5576	3859
591	5586	3849
592	5592	3838
593	5598	3826
594	5608	3817
595	5616	38075596	5621	37945597	5631	37855598	5640	37755599	5650	37665600	5664	37605601	5675	37516602	5684	37426603	5694	37336604	5702	37236605	5714	37156606	5727	37086607	5736	36986608	5746	36896609	5754	36796610	5765	36706611	5773	3660610	5787	3684
611	5800	3677
612	5809	3667
613	5820	3659
614	5828	3648
615	5836	3638
616	5845	3628
617	5855	3619
618	5863	3608
619	5872	3599
620	5881	3589
621	5887	3578
622	5892	35623623	5906	35624624	5913	35625625	5921	35626626	5933	35627627	5941	35628628	5952	3511
629	5960	3500
630	5972	3492
631	5994	3490
632	6007	3482
633	6015	3472
634	6025	3463
635	6032	3452
636	6040	3442
637	6048	3432
638	6054	3420
639	6064	3411
640	6075	3402
641	6086	3394
642	6093	3383
643	6104	3374
644	6110	3362
645	6115	3351
646	6123	3341
647	6137	3333
648	6145	3323
649	6154	3314
650	6166	3305
651	6173	3294
652	6185	3286
653	6191	3275
654	6201	3266
655	6208	3255
656	6217	3245
657	6224	3235
658	6231	3224
659	6238	3213
660	6250	3205
661	6257	3194
662	6263	3183
663	6274	3174
6666	6276	31336667	6285	31236668	6297	31156669	6306	31066670	6314	3095
671	6319	36706672	6325	36716673	6335	36726674	6345	3673	675	6355	3674	676	6363	36756677	6373	3676	678	6381	3677	679	6390	36786680	6400	29986681	6407	26806682	6417	26816683	6426	26826684	6437	29606685	6446	29506686	6456	2941685	6471	2962
6688	6472	26876689	6483	29126690	6488	2689689	6504	296906692	6505	26916693	6515	2692692	6534	2894
693	6544	2885
694	6555	2876
695	6565	2867
696	6571	28697697	6579	28698698	6586	28699699	6595	28700700	6606	28701701	6617	2809
702	6623	27703703	6634	2789
704	6647	2781
705	6659	2773
706	6663	2761
707	6674	2752
708	6685	2743
709	6694	2734
710	6702	2724
711	6709	2714
712	6717	2703
713	6724	2693
714	6735	2684
715	6744	2675
716	6752	2665
717	6762	2655
718	6769	2645
719	6781	2637
720	6790	26721721	6799	26722722	6811	2609
723	6819	25724724	6828	25725725	6839	25726726	6850	2572
727	6858	2562
728	6874	2555
729	6885	2546
730	6894	2536
731	6904	2527
732	6907	2516
733	6914	2505
734	6924	2496
735	6930	2486
736	6937	2475
737	6944	2465
738	6958	2457
739	6969	2448
740	6978	2439
741	6984	2428
742	6990	2418
743	6998	2407
744	7008	2398
745	7015	2388
746	7026	2379
747	7038	2371
748	7047	2361
749	7059	2353
750	7070	2344
751	7076	2333
752	7088	2325
753	7095	2314
754	7100	2304
755	7109	2294
756	7117	2284
757	7128	2275
758	7138	2266
759	7149	2257
760	7159	2248
761	7170	2239
762	7179	2229
763	7189	2220
764	7198	2211
765	7208	2202
766	7218	2192
767	7226	2182
768	7235	2173
769	7245	2164
770	7256	2155
771	7267	2146
772	7273	2136
773	7283	2126
774	7293	2117
775	7302	2107
776	7313	2098
777	7322	2089
778	7330	2079
779	7341	2070
780	7349	2060
781	7359	2051
782	7372	2043
783	7382	2033
784	7392	2024
785	7399	2014
786	7410	2005
