iter	Passed	Remaining
583	4815	3429
584	4828	3425
585	4838	3418
586	4846	3410
587	4856	3402
588	4871	3399
589	4880	3391
590	4886	3381
591	4896	3374
592	4904	3366
593	4913	3358
594	4918	3347
595	4926	3339
596	4935	3331
597	4945	3324
598	4952	3315
599	4959	3306
600	4966	3297
601	4972	3287
602	4981	3279
603	4988	3270
604	4994	3261
605	5002	3252
606	5011	3244
607	5019	3236
608	5030	3229
609	5039	3222
610	5046	3212
611	5054	3204
612	5059	3194
613	5062	3182
614	5070	3174
615	5081	3167
616	5090	3160
617	5097	3150
618	5101	3139
619	5110	3132
620	5117	3123
621	5124	3114
622	5130	3104
623	5139	3096
624	5146	3087
625	5155	3079
626	5162	3071
627	5169	3062
628	5179	3055
629	5188	3046
630	5196	3038
631	5203	3029
632	5210	3020
633	5219	3012
634	5228	3005
635	5231	2994
636	5240	2986
637	5245	2976
638	5255	2968
639	5261	2959
640	5270	2951
641	5281	2945
642	5289	2936
643	5294	2926
644	5301	2917
645	5311	2910
646	5320	2902
647	5327	2893
648	5334	2884
649	5342	2876
650	5348	2867
651	5355	2858
652	5360	2848
653	5367	2839
654	5375	2831
655	5385	2824
656	5391	2814
657	5397	2805
658	5407	2798
659	5412	2788
660	5423	2781
661	5433	2774
662	5438	2764
663	5449	2757
664	5455	2748
665	5467	2741
666	5476	2734
667	5484	2725
668	5490	2716
669	5497	2707
670	5503	2698
671	5508	2688
672	5514	2679
673	5522	2671
674	5528	2661
675	5532	2651
676	5543	2644
677	5552	2636
678	5558	2627
679	5567	2619
680	5576	2612
681	5585	2604
682	5592	2595
683	5601	2587
684	5607	2578
685	5614	2569
686	5620	2560
687	5626	2551
688	5632	2542
689	5640	2534
690	5649	2526
691	5656	2517
692	5665	2509
693	5671	2500
694	5681	2493
695	5689	2485
696	5698	2477
697	5705	2468
698	5714	2460
699	5721	2452
700	5730	2444
701	5738	2435
702	5745	2427
703	5756	2420
704	5763	2411
705	5770	2403
706	5774	2393
707	5781	2384
708	5788	2375
709	5794	2366
710	5803	2358
711	5813	2351
712	5820	2343
713	5829	2334
714	5837	2326
715	5846	2319
716	5857	2311
717	5869	2305
718	5879	2297
719	5891	2290
720	5899	2282
721	5906	2274
722	5911	2265
723	5921	2257
724	5928	2248
725	5938	2241
726	5945	2232
727	5950	2223
728	5960	2215
729	5967	2207
730	5978	2200
731	5989	2192
732	5997	2184
733	6007	2177
734	6013	2168
735	6023	2160
736	6029	2151
737	6037	2143
738	6042	2134
739	6049	2125
740	6059	2117
741	6067	2109
742	6074	2101
743	6080	2092
744	6093	2085
745	6101	2077
746	6109	2069
747	6120	2061
748	6128	2053
749	6133	2044
750	6140	2035
751	6148	2027
752	6156	2019
753	6163	2010
754	6171	2002
755	6179	1994
756	6186	1985
757	6195	1977
758	6204	1970
759	6211	1961
760	6221	1953
761	6227	1945
762	6238	1937
763	6243	1928
764	6250	1920
765	6259	1912
766	6269	1904
767	6279	1896
768	6282	1887
769	6288	1878
